n	int	float
1000	95	54
2000	28	33
3000	21	51
4000	30	60
5000	34	82
6000	35	128
7000	40	143
8000	46	178
9000	59	196
10000	59	234
11000	66	297
12000	74	336
13000	81	349
14000	88	407
15000	97	461
16000	103	468
17000	112	501
18000	122	556
19000	130	663
20000	139	640
21000	148	659
22000	155	865
23000	167	937
24000	177	935
25000	188	941
26000	196	979
27000	206	1177
28000	218	1144
29000	227	1173
30000	239	1273
31000	257	1343
32000	272	1335
33000	273	1371
34000	283	1419
35000	305	1606
36000	311	1557
37000	317	1491
38000	331	1741
39000	339	1804
40000	363	1736
41000	370	1771
42000	376	1801
43000	398	2366
44000	402	2316
45000	420	2458
46000	428	2526
47000	446	2706
48000	466	2518
49000	480	2948
50000	490	2552
51000	533	3047
52000	532	2739
53000	589	3106
54000	582	3237
55000	642	3523
56000	643	3296
57000	665	3730
58000	644	3288
59000	674	3916
60000	680	3581
61000	692	3945
62000	714	3771
63000	743	4048
64000	735	3819
65000	752	4688
66000	760	3909
67000	809	4368
68000	803	4071
69000	811	4460
70000	841	4463
71000	857	4838
72000	871	4520
73000	916	5022
74000	850	4299
75000	863	5185
76000	888	5022
77000	1128	5367
78000	973	5072
79000	981	5325
80000	941	4860
81000	950	5718
82000	1000	4842
83000	1001	5423
84000	1069	4981
85000	1054	5489
86000	1093	6900
87000	1061	6684
88000	1090	6555
89000	1167	6903
90000	1225	7111
91000	1196	7254
92000	1220	7101
93000	1239	7185
94000	1242	7723
95000	1285	7598
96000	1258	7112
97000	1294	7864
98000	1276	8088
99000	1297	7253
100000	1307	6997
101000	1331	7164
102000	1362	7842
103000	1374	7759
104000	1396	7613
105000	1410	7945
106000	1423	8060
107000	1442	8861
108000	1461	8700
109000	1463	8756
110000	1502	9129
111000	1518	8818
112000	1528	8629
113000	1546	9406
114000	1565	9678
115000	1578	9062
116000	1628	8692
117000	1631	8816
118000	1662	10021
119000	1820	9750
120000	1710	9644
121000	1709	10138
122000	1742	10196
123000	1755	10388
124000	1787	10036
125000	1801	10241
126000	1828	10752
127000	1842	10375
128000	1855	9952
129000	1891	12788
130000	1897	12400
131000	2145	15047
132000	1933	10328
133000	1953	10821
134000	1981	11424
135000	1993	11991
136000	2052	10720
137000	2065	12141
138000	2104	11588
139000	2106	13660
140000	2141	11783
141000	2151	13185
142000	2159	16579
143000	2566	13365
144000	2191	11896
145000	2240	13451
146000	2252	12991
147000	2273	14116
148000	2288	11580
149000	2338	12472
150000	2345	14137
151000	2368	14690
152000	2395	13311
153000	2411	14510
154000	2443	14035
155000	2466	15948
156000	2489	13803
157000	2493	14397
158000	2519	14455
159000	2547	15076
160000	2561	13483
161000	2571	16224
162000	2597	15735
163000	2645	16850
164000	2654	13606
165000	2683	14270
166000	2699	15058
167000	2719	15727
168000	2760	13895
169000	2772	15221
170000	2787	15044
171000	2811	18537
172000	2847	18402
173000	2877	17299
174000	2902	17825
175000	2937	18073
176000	2949	17548
177000	2976	18270
178000	3010	18564
179000	3031	19310
180000	3062	18791
181000	3083	16724
182000	3109	18983
183000	3127	19027
184000	3131	18921
185000	3160	19222
186000	3194	19095
187000	3237	20690
188000	3303	20282
189000	3340	19239
190000	3366	20136
191000	3361	19847
192000	3373	19046
193000	3380	21305
194000	3416	21580
195000	3425	22402
196000	3435	21902
197000	3473	18254
198000	3541	20000
199000	4334	23412
200000	3638	19266
201000	3641	19289
202000	3615	19571
203000	3667	22112
204000	3703	21430
205000	3772	19775
206000	3724	25531
207000	5070	21796
208000	3825	21595
209000	3845	21465
210000	3874	21703
211000	4259	22738
212000	3887	21846
213000	3922	19212
214000	3940	23631
215000	3974	24896
216000	4007	27652
217000	4198	25618
218000	4067	23782
219000	4159	26911
220000	4189	24593
221000	4118	25508
222000	4150	24005
223000	4165	27694
224000	4197	23429
225000	4232	32990
226000	4233	25372
227000	4246	27393
228000	4280	26330
229000	4331	27232
230000	4342	24444
231000	4366	25537
232000	4413	23658
233000	4429	26562
234000	4809	24841
235000	4473	28822
236000	4653	30136
237000	5648	28156
238000	4583	26353
239000	4616	27081
240000	4626	25877
241000	4684	29189
242000	4724	28643
243000	6224	29568
244000	4752	27335
245000	4787	28930
246000	4813	27888
247000	4850	28967
248000	4881	29343
249000	4956	29647
250000	4949	27287
251000	4998	34609
252000	4978	28780
253000	5018	29945
254000	5053	27740
255000	5064	30157
256000	5093	26726
257000	5144	33397
258000	5147	33604
259000	5174	34080
260000	5196	32943
261000	5216	33063
262000	5262	35523
263000	5296	28951
264000	5295	27940
265000	5340	29221
266000	5396	29305
267000	5417	31815
268000	5443	30554
269000	5449	31247
270000	5910	32388
271000	5528	29967
272000	5578	28973
273000	5636	31545
274000	5642	31401
275000	5651	32244
276000	5833	31484
277000	5753	31288
278000	5758	36234
279000	5809	32758
280000	5821	31354
281000	5838	32937
282000	5870	33011
283000	7674	40002
284000	5914	33076
285000	5953	33187
286000	5971	35412
287000	6016	33017
288000	6080	31736
289000	6090	35770
290000	6164	35706
291000	6168	35757
292000	6204	34612
293000	6233	34613
294000	6187	40996
295000	6209	32262
296000	6229	30846
297000	6253	32406
298000	6312	33183
299000	6329	41467
300000	6384	37587
301000	6430	38792
302000	6422	38932
303000	6460	40352
304000	6492	35311
305000	6512	39808
306000	6570	38526
307000	6753	41539
308000	6656	37193
309000	6662	38673
310000	6705	46793
311000	6717	43516
312000	6838	37032
313000	6775	39517
314000	6857	38058
315000	6830	42309
316000	6849	38229
317000	6874	39593
318000	6909	39754
319000	6904	41070
320000	6943	35502
321000	6963	42499
322000	7058	42524
323000	7037	45370
324000	7164	40921
325000	7158	42420
326000	7182	43922
327000	7190	45961
328000	7220	36027
329000	7276	39198
330000	7301	37670
331000	7334	43894
332000	7375	39403
333000	7352	40950
334000	7464	41113
335000	7460	42657
336000	7458	36377
337000	7480	41266
338000	7569	39631
339000	7576	42888
340000	7604	38322
341000	8782	39807
342000	7641	48192
343000	7844	48025
344000	7727	50850
345000	7760	43643
346000	7783	43692
347000	7864	46988
348000	7925	45345
349000	7941	43754
350000	7995	45580
351000	7991	48423
352000	8041	46729
353000	8091	48419
354000	8091	48434
355000	8295	50271
356000	8162	48572
357000	8164	48060
358000	8169	53126
359000	8242	50809
360000	8278	53198
361000	8940	43926
362000	8340	44123
363000	9195	51172
364000	11902	52183
365000	8469	47638
366000	8445	49436
367000	8443	50568
368000	8491	48692
369000	9161	51113
370000	8540	48786
371000	8677	50730
372000	8717	48906
373000	8875	47825
374000	8868	53118
375000	8808	57334
376000	8862	51970
377000	8873	48526
378000	8939	48428
379000	8929	52110
380000	8987	50394
381000	9025	48575
382000	9156	50507
383000	9136	50569
384000	9120	48640
385000	9116	59977
386000	9147	54683
387000	9165	58279
388000	9173	54593
389000	9189	56396
390000	9216	56436
391000	9227	58665
392000	9438	60145
393000	9412	59563
394000	9362	45436
395000	9376	53228
396000	9434	49378
397000	10864	52108
398000	9527	52772
399000	9693	54866
400000	9617	53378
401000	10042	56834
402000	9768	50909
403000	9670	59527
404000	9685	50941
405000	9792	53080
406000	9862	57281
407000	9867	59438
408000	9891	55694
409000	9925	59768
410000	9920	51369
411000	9944	57724
412000	10026	53567
413000	9991	55760
414000	10067	53747
415000	10202	56190
416000	10234	51992
417000	10279	60497
